Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
13514,1100 Block STATE ST,15OR40505,OREM,,,09/14/2015 08:04:33 AM,Friday,22,09/11/2015 10:09:26 PM,Description: Alarm,730406215,ALARM,40.276,"{'type': 'Point', 'coordinates': [-111.686, 40.276]}",-111.686,Alarm,UT,09/24/2015 08:01:13 AM,
13515,700 Block N 25 WEST,15OR40504,OREM,,,09/14/2015 08:04:33 AM,Friday,22,09/11/2015 10:09:34 PM,Description: Agency Assist,730406226,AGENCY ASSIST,40.3105,"{'type': 'Point', 'coordinates': [-111.696, 40.3105]}",-111.696,Community Policing,UT,09/24/2015 08:01:13 AM,
13516,1500 Block E 800 NORTH,15OR40507,OREM,,,09/14/2015 08:04:31 AM,Friday,22,09/11/2015 10:09:42 PM,Description: Citizen Assist,730406207,CITIZEN ASSIST,40.3131,"{'type': 'Point', 'coordinates': [-111.659, 40.3131]}",-111.659,Community Policing,UT,09/24/2015 08:01:14 AM,
13517,1700 Block N 940 WEST,15OR40508,OREM,,,09/14/2015 08:04:31 AM,Friday,23,09/11/2015 11:09:09 PM,Description: Agency Assist,730406206,AGENCY ASSIST,40.3296,"{'type': 'Point', 'coordinates': [-111.719, 40.3296]}",-111.719,Community Policing,UT,09/24/2015 08:01:14 AM,
13518,700 Block E 1870 NORTH,15OR40509,OREM,,,09/14/2015 08:04:31 AM,Friday,23,09/11/2015 11:09:20 PM,Description: Citizen Assist,730406203,CITIZEN ASSIST,40.3314,"{'type': 'Point', 'coordinates': [-111.678, 40.3314]}",-111.678,Community Policing,UT,09/24/2015 08:01:14 AM,
13519,800 Block MAIN ST,15OR40512,OREM,,,09/14/2015 08:04:33 AM,Friday,23,09/11/2015 11:09:20 PM,Description: Citizen Assist,730406223,CITIZEN ASSIST,40.2824,"{'type': 'Point', 'coordinates': [-111.695, 40.2824]}",-111.695,Community Policing,UT,09/24/2015 08:01:15 AM,
13520,1 Block I15S X271 ON,15OR40510,OREM,,,09/14/2015 08:04:41 AM,Friday,23,09/11/2015 11:09:41 PM,Description: Traffic Offense,730406314,TRAFFIC OFFENSE,40.2952,"{'type': 'Point', 'coordinates': [-111.726, 40.2952]}",-111.726,Traffic,UT,09/24/2015 08:01:15 AM,
13521,1000 Block SARAH CIR,15OR40524,OREM,,,09/15/2015 08:04:53 AM,Saturday,2,09/12/2015 02:09:14 AM,Description: Citizen Assist,730476580,CITIZEN ASSIST,40.278,"{'type': 'Point', 'coordinates': [-111.692, 40.278]}",-111.692,Community Policing,UT,09/24/2015 08:01:19 AM,
13522,1300 Block SANDHILL RD,15OR40525,OREM,,,09/15/2015 08:04:53 AM,Saturday,4,09/12/2015 04:09:07 AM,Description: Alarm,730476585,ALARM,40.2721,"{'type': 'Point', 'coordinates': [-111.712, 40.2721]}",-111.712,Alarm,UT,09/24/2015 08:05:42 AM,
13523,600 Block N 400 WEST,15OR40527,OREM,,,09/15/2015 08:04:53 AM,Saturday,5,09/12/2015 05:09:20 AM,Description: Citizen Assist,730476586,CITIZEN ASSIST,40.3089,"{'type': 'Point', 'coordinates': [-111.705, 40.3089]}",-111.705,Community Policing,UT,09/24/2015 08:05:42 AM,
13524,300 Block E 1600 SOUTH,15OR40529,OREM,,,09/15/2015 08:04:53 AM,Saturday,6,09/12/2015 06:09:49 AM,Description: Alarm,730476589,ALARM,40.2679,"{'type': 'Point', 'coordinates': [-111.686, 40.2679]}",-111.686,Alarm,UT,09/24/2015 08:05:43 AM,
13525,400 Block CENTER ST,15OR40534,OREM,,,09/15/2015 08:04:53 AM,Saturday,8,09/12/2015 08:09:16 AM,Description: Traffic Accident-Hit & Run,730476590,TRAFFIC ACCIDENT-HIT & RUN,40.2971,"{'type': 'Point', 'coordinates': [-111.686, 40.2971]}",-111.686,Traffic,UT,09/24/2015 08:05:44 AM,
13526,500 Block E 400 SOUTH,15OR40537,OREM,,,09/15/2015 08:04:53 AM,Saturday,8,09/12/2015 08:09:39 AM,Description: Citizen Assist,730476587,CITIZEN ASSIST,40.2897,"{'type': 'Point', 'coordinates': [-111.682, 40.2897]}",-111.682,Community Policing,UT,09/24/2015 08:05:44 AM,
13527,100 Block CENTER ST,15OR40540,OREM,,,09/15/2015 08:04:53 AM,Saturday,9,09/12/2015 09:09:17 AM,Description: Theft-Property-Other,730476581,THEFT-PROPERTY-OTHER,40.2971,"{'type': 'Point', 'coordinates': [-111.7, 40.2971]}",-111.7,Theft,UT,09/24/2015 08:05:45 AM,
13528,1200 Block S 800 EAST,15OR40542,OREM,,,09/15/2015 08:04:53 AM,Saturday,9,09/12/2015 09:09:19 AM,Description: Traffic Accident-Hit & Run,730476582,TRAFFIC ACCIDENT-HIT & RUN,40.2738,"{'type': 'Point', 'coordinates': [-111.676, 40.2738]}",-111.676,Traffic,UT,09/24/2015 08:05:45 AM,
13529,400 Block UNIVERSITY PKWY,15OR40538,OREM,,,09/15/2015 08:04:53 AM,Saturday,9,09/12/2015 09:09:34 AM,Description: Traffic Accident-Reportable,730476584,TRAFFIC ACCIDENT-REPORTABLE,40.2736,"{'type': 'Point', 'coordinates': [-111.705, 40.2736]}",-111.705,Traffic,UT,09/24/2015 08:05:44 AM,
13530,1100 Block N 800 WEST,15OR40555,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:04 AM,Description: Criminal Mischief,730476562,CRIMINAL MISCHIEF,40.3175,"{'type': 'Point', 'coordinates': [-111.715, 40.3175]}",-111.715,Other,UT,09/24/2015 08:01:44 AM,
13531,300 Block W 205 NORTH,15OR40553,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:09 AM,Description: Citizen Assist,730476557,CITIZEN ASSIST,40.301,"{'type': 'Point', 'coordinates': [-111.704, 40.301]}",-111.704,Community Policing,UT,09/24/2015 08:01:43 AM,
13532,300 Block E 1090 NORTH,15OR40554,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:29 AM,Description: Citizen Assist,730476560,CITIZEN ASSIST,40.3171,"{'type': 'Point', 'coordinates': [-111.687, 40.3171]}",-111.687,Community Policing,UT,09/24/2015 08:01:44 AM,
13533,1800 Block HOLDAWAY RD,15OR40557,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:34 AM,Description: Traffic Offense,730476559,TRAFFIC OFFENSE,40.2898,"{'type': 'Point', 'coordinates': [-111.739, 40.2898]}",-111.739,Traffic,UT,09/24/2015 08:01:44 AM,
13534,1100 Block N 950 WEST,15OR40551,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:38 AM,Description: Animal Problem,730476563,ANIMAL PROBLEM,40.3176,"{'type': 'Point', 'coordinates': [-111.718, 40.3176]}",-111.718,Community Policing,UT,09/24/2015 08:01:43 AM,
13535,700 Block ORCHARD DR,15OR40552,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:38 AM,Description: Citizen Dispute,730476565,CITIZEN DISPUTE,40.3116,"{'type': 'Point', 'coordinates': [-111.691, 40.3116]}",-111.691,Community Policing,UT,09/24/2015 08:05:46 AM,
13536,1100 Block N 200 EAST,15OR40547,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:41 AM,Description: Theft-Property-Other,730476569,THEFT-PROPERTY-OTHER,40.3192,"{'type': 'Point', 'coordinates': [-111.691, 40.3192]}",-111.691,Theft,UT,09/24/2015 08:05:45 AM,
13537,500 Block W 1830 NORTH,18OR11041,OREM,,,03/18/2018 06:22:30 AM,Thursday,11,03/15/2018 11:03:08 AM,Description: Traffic Offense,838360029,TRAFFIC OFFENSE,40.331,"{'type': 'Point', 'coordinates': [-111.709, 40.331]}",-111.709,Traffic,UT,03/29/2018 05:13:27 AM,
13538,400 Block N 900 EAST,18OR11042,OREM,,,03/18/2018 06:22:30 AM,Thursday,11,03/15/2018 11:03:12 AM,Description: Suspicious,838360030,SUSPICIOUS,40.3052,"{'type': 'Point', 'coordinates': [-111.674, 40.3052]}",-111.674,Community Policing,UT,03/29/2018 05:13:27 AM,
13539,1 Block E 700 NORTH,18OR11037,OREM,,,03/18/2018 06:22:30 AM,Thursday,11,03/15/2018 11:03:18 AM,Description: Animal Problem,838360032,ANIMAL PROBLEM,40.31,"{'type': 'Point', 'coordinates': [-111.694, 40.31]}",-111.694,Community Policing,UT,03/29/2018 05:13:27 AM,
13540,500 Block W 1700 NORTH,18OR11038,OREM,,,03/18/2018 06:22:30 AM,Thursday,11,03/15/2018 11:03:25 AM,Description: Citizen Assist,838360031,CITIZEN ASSIST,40.3282,"{'type': 'Point', 'coordinates': [-111.71, 40.3282]}",-111.71,Community Policing,UT,03/29/2018 05:13:27 AM,
13541,800 Block STATE ST,15OR40545,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:42 AM,Description: Citizen Dispute,730476570,CITIZEN DISPUTE,40.3119,"{'type': 'Point', 'coordinates': [-111.701, 40.3119]}",-111.701,Community Policing,UT,09/24/2015 08:05:45 AM,
13542,1300 Block UNIVERSITY PKWY,15OR40549,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:56 AM,Description: Theft-Property-Building,730476564,THEFT-PROPERTY-BUILDING,40.2751,"{'type': 'Point', 'coordinates': [-111.727, 40.2751]}",-111.727,Theft,UT,09/24/2015 08:01:43 AM,
13543,1600 Block STATE ST,15OR40546,OREM,,,09/15/2015 08:04:50 AM,Saturday,10,09/12/2015 10:09:58 AM,Description: Animal Problem,730476566,ANIMAL PROBLEM,40.3265,"{'type': 'Point', 'coordinates': [-111.708, 40.3265]}",-111.708,Community Policing,UT,09/24/2015 08:05:45 AM,
13544,900 Block MAIN ST,15OR40556,OREM,,,09/15/2015 08:04:50 AM,Saturday,11,09/12/2015 11:09:43 AM,Description: Theft-Property-Bicycle,730476556,THEFT-PROPERTY-BICYCLE,40.3138,"{'type': 'Point', 'coordinates': [-111.696, 40.3138]}",-111.696,Theft,UT,09/24/2015 08:01:44 AM,
13545,200 Block E 230 SOUTH,15OR40573,OREM,,,09/15/2015 08:04:47 AM,Saturday,12,09/12/2015 12:09:39 PM,Description: Family Problem-No Violence,730476454,FAMILY PROBLEM-NO VIOLENCE,40.2926,"{'type': 'Point', 'coordinates': [-111.689, 40.2926]}",-111.689,Family Offense,UT,09/24/2015 08:01:47 AM,
13546,700 Block E 1870 NORTH,15OR40584,OREM,,,09/15/2015 08:04:43 AM,Saturday,13,09/12/2015 01:09:50 PM,Description: Citizen Assist,730476446,CITIZEN ASSIST,40.3314,"{'type': 'Point', 'coordinates': [-111.678, 40.3314]}",-111.678,Community Policing,UT,09/24/2015 08:01:49 AM,
13547,1 Block CENTER ST,15OR40591,OREM,,,09/15/2015 08:04:43 AM,Saturday,14,09/12/2015 02:09:17 PM,Description: Citizen Assist,730476441,CITIZEN ASSIST,40.2971,"{'type': 'Point', 'coordinates': [-111.693, 40.2971]}",-111.693,Community Policing,UT,09/24/2015 08:02:02 AM,
13548,1700 Block SPRINGWATER DR,15OR40596,OREM,,,09/15/2015 08:04:43 AM,Saturday,14,09/12/2015 02:09:22 PM,Description: Custodial Interference,730476440,CUSTODIAL INTERFERENCE,40.2816,"{'type': 'Point', 'coordinates': [-111.737, 40.2816]}",-111.737,Family Offense,UT,09/24/2015 08:02:04 AM,
13549,400 Block UNIVERSITY PKWY,15OR40590,OREM,,,09/15/2015 08:04:43 AM,Saturday,14,09/12/2015 02:09:52 PM,Description: Traffic Accident-Reportable,730476442,TRAFFIC ACCIDENT-REPORTABLE,40.2736,"{'type': 'Point', 'coordinates': [-111.705, 40.2736]}",-111.705,Traffic,UT,09/24/2015 08:02:02 AM,
13604,400 Block STATE ST,15OR40850,OREM,,,09/19/2015 08:04:42 AM,Monday,12,09/14/2015 12:09:28 PM,Description: CS-Poss-Heroin,731068271,CS-POSS-HEROIN,40.3061,"{'type': 'Point', 'coordinates': [-111.699, 40.3061]}",-111.699,Drugs,UT,09/24/2015 08:01:54 AM,
13550,800 Block STATE ST,15OR40607,OREM,,,09/15/2015 08:04:40 AM,Saturday,15,09/12/2015 03:09:35 PM,Description: Traffic Accident-Non Reportabl,730476273,TRAFFIC ACCIDENT-NON REPORTABL,40.281,"{'type': 'Point', 'coordinates': [-111.688, 40.281]}",-111.688,Traffic,UT,09/24/2015 08:02:07 AM,
13551,600 Block CENTER ST,15OR40613,OREM,,,09/15/2015 08:04:40 AM,Saturday,15,09/12/2015 03:09:43 PM,Description: Animal Problem,730476269,ANIMAL PROBLEM,40.2972,"{'type': 'Point', 'coordinates': [-111.712, 40.2972]}",-111.712,Community Policing,UT,09/24/2015 08:02:09 AM,
13552,800 Block STATE ST,15OR40621,OREM,,,09/15/2015 08:04:40 AM,Saturday,16,09/12/2015 04:09:00 PM,Description: Traffic Accident-Reportable,730476264,TRAFFIC ACCIDENT-REPORTABLE,40.3119,"{'type': 'Point', 'coordinates': [-111.701, 40.3119]}",-111.701,Traffic,UT,09/24/2015 08:02:11 AM,
13553,600 Block UNIVERSITY PKWY,15OR40620,OREM,,,09/15/2015 08:04:40 AM,Saturday,16,09/12/2015 04:09:53 PM,Description: Citizen Assist,730476265,CITIZEN ASSIST,40.2731,"{'type': 'Point', 'coordinates': [-111.679, 40.2731]}",-111.679,Community Policing,UT,09/24/2015 08:02:11 AM,
13554,300 Block W 800 NORTH,15OR40635,OREM,,,09/15/2015 08:04:38 AM,Saturday,17,09/12/2015 05:09:11 PM,Description: Traffic Offense,730476258,TRAFFIC OFFENSE,40.3119,"{'type': 'Point', 'coordinates': [-111.703, 40.3119]}",-111.703,Traffic,UT,09/24/2015 08:02:14 AM,
13555,1800 Block US 189 HWY,15OR40632,OREM,,,09/15/2015 08:04:38 AM,Saturday,17,09/12/2015 05:09:17 PM,Description: Agency Assist,730476259,AGENCY ASSIST,40.3248,"{'type': 'Point', 'coordinates': [-111.637, 40.3248]}",-111.637,Community Policing,UT,09/24/2015 08:02:14 AM,
13556,500 Block UNIVERSITY PKWY,15OR40641,OREM,,,09/15/2015 08:04:38 AM,Saturday,17,09/12/2015 05:09:26 PM,Description: Traffic Accident-Non Reportabl,730476256,TRAFFIC ACCIDENT-NON REPORTABL,40.2734,"{'type': 'Point', 'coordinates': [-111.681, 40.2734]}",-111.681,Traffic,UT,09/24/2015 08:02:15 AM,
13557,300 Block UNIVERSITY PKWY,15OR40631,OREM,,,09/15/2015 08:04:40 AM,Saturday,17,09/12/2015 05:09:35 PM,Description: Fraud,730476261,FRAUD,40.2735,"{'type': 'Point', 'coordinates': [-111.688, 40.2735]}",-111.688,Theft,UT,09/24/2015 08:02:13 AM,
13558,1 Block STATE ST,15OR40637,OREM,,,09/15/2015 08:04:38 AM,Saturday,17,09/12/2015 05:09:58 PM,Description: Citizen Assist,730476255,CITIZEN ASSIST,40.2959,"{'type': 'Point', 'coordinates': [-111.694, 40.2959]}",-111.694,Community Policing,UT,09/24/2015 08:02:15 AM,
13559,200 Block N 800 WEST,15OR40646,OREM,,,09/15/2015 08:04:38 AM,Saturday,18,09/12/2015 06:09:15 PM,Description: Citizen Assist,730476248,CITIZEN ASSIST,40.3017,"{'type': 'Point', 'coordinates': [-111.715, 40.3017]}",-111.715,Community Policing,UT,09/24/2015 08:02:18 AM,
13560,200 Block STATE ST,15OR40644,OREM,,,09/15/2015 08:04:38 AM,Saturday,18,09/12/2015 06:09:17 PM,Description: Citizen Assist,730476250,CITIZEN ASSIST,40.292,"{'type': 'Point', 'coordinates': [-111.693, 40.292]}",-111.693,Community Policing,UT,09/24/2015 08:02:17 AM,
13561,1000 Block S 800 EAST,15OR40640,OREM,,,09/15/2015 08:04:38 AM,Saturday,18,09/12/2015 06:09:52 PM,Description: Traffic Accident-Reportable,730476253,TRAFFIC ACCIDENT-REPORTABLE,40.2778,"{'type': 'Point', 'coordinates': [-111.676, 40.2778]}",-111.676,Traffic,UT,09/24/2015 08:02:15 AM,
13562,500 Block QUAIL RD,15OR40650,OREM,,,09/15/2015 08:04:34 AM,Saturday,19,09/12/2015 07:09:36 PM,Description: Citizen Assist,730476238,CITIZEN ASSIST,40.3286,"{'type': 'Point', 'coordinates': [-111.682, 40.3286]}",-111.682,Community Policing,UT,09/24/2015 08:02:20 AM,
13563,1 Block STATE ST,15OR40649,OREM,,,09/15/2015 08:04:38 AM,Saturday,19,09/12/2015 07:09:47 PM,Description: Citizen Assist,730476245,CITIZEN ASSIST,40.2956,"{'type': 'Point', 'coordinates': [-111.694, 40.2956]}",-111.694,Community Policing,UT,09/24/2015 08:02:20 AM,
13564,1500 Block S 240 EAST,18OR11035,OREM,,,03/18/2018 06:22:30 AM,Thursday,11,03/15/2018 11:03:31 AM,Description: Citizen Assist,838360034,CITIZEN ASSIST,40.2693,"{'type': 'Point', 'coordinates': [-111.689, 40.2693]}",-111.689,Community Policing,UT,03/29/2018 05:13:27 AM,
13565,STATE ST & E UNIVERSITY PKWY,15OR40648,OREM,,,09/15/2015 08:04:38 AM,Saturday,19,09/12/2015 07:09:56 PM,Description: Citizen Assist,730476246,CITIZEN ASSIST,40.2734,"{'type': 'Point', 'coordinates': [-111.685, 40.2734]}",-111.685,Community Policing,UT,09/24/2015 08:02:19 AM,
13566,900 Block W 230 NORTH,15OR40657,OREM,,,09/15/2015 08:04:34 AM,Saturday,20,09/12/2015 08:09:10 PM,Description: Theft-Property-Other,730476236,THEFT-PROPERTY-OTHER,40.3015,"{'type': 'Point', 'coordinates': [-111.719, 40.3015]}",-111.719,Theft,UT,09/24/2015 08:02:21 AM,
13567,800 Block N 800 EAST,15OR40662,OREM,,,09/15/2015 08:04:34 AM,Saturday,21,09/12/2015 09:09:02 PM,Description: Agency Assist,730476232,AGENCY ASSIST,40.312,"{'type': 'Point', 'coordinates': [-111.677, 40.312]}",-111.677,Community Policing,UT,09/24/2015 08:02:22 AM,
13568,1 Block W 1600 SOUTH,15OR40663,OREM,,,09/15/2015 08:04:50 AM,Saturday,21,09/12/2015 09:09:35 PM,Description: Agency Assist,730476567,AGENCY ASSIST,40.268,"{'type': 'Point', 'coordinates': [-111.696, 40.268]}",-111.696,Community Policing,UT,09/24/2015 08:02:23 AM,
13569,1500 Block N 1200 WEST,15OR40666,OREM,,,09/15/2015 08:04:43 AM,Saturday,22,09/12/2015 10:09:20 PM,Description: Citizen Assist,730476443,CITIZEN ASSIST,40.3247,"{'type': 'Point', 'coordinates': [-111.725, 40.3247]}",-111.725,Community Policing,UT,09/24/2015 08:02:24 AM,
13570,800 Block STATE ST,15OR40665,OREM,,,09/15/2015 08:04:43 AM,Saturday,22,09/12/2015 10:09:29 PM,Description: Citizen Assist,730476444,CITIZEN ASSIST,40.2824,"{'type': 'Point', 'coordinates': [-111.689, 40.2824]}",-111.689,Community Policing,UT,09/24/2015 08:02:23 AM,
