column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
562,400 Block E 800 S,12-C1387,RIVER HEIGHTS,,,03/01/2012 08:48:04 PM,Thursday,22,02/23/2012 10:02:00 PM,Animal Problem,101380348,[CCSO] ANIMAL PROBLEM,41.717536,"{'type': 'Point', 'coordinates': [-111.824249, 41.717536]}",-111.824249,Community Policing,UT,03/21/2012 12:02:21 PM,
563,1 Block E 9100 S,12-C1366,PARADISE,,,03/01/2012 08:48:04 PM,Thursday,8,02/23/2012 08:02:26 AM,Animal Problem,101380349,[CCSO] ANIMAL PROBLEM,41.566485,"{'type': 'Point', 'coordinates': [-111.830439, 41.566485]}",-111.830439,Community Policing,UT,03/12/2012 12:02:02 PM,
564,200 Block S 800 E,16-C3323,HYRUM,,,04/27/2016 06:46:48 AM,Tuesday,9,04/26/2016 09:16:53 AM,Parking Problem,758041114,[CCSO] PARKING PROBLEM,41.6282,"{'type': 'Point', 'coordinates': [-111.833, 41.6282]}",-111.833,Traffic,UT,06/21/2016 09:13:22 AM,
565,MP 39 US 91,17-C10987,CACHE COUNTY,,,01/19/2018 06:23:43 PM,Tuesday,10,12/05/2017 10:06:58 AM,Animal Problem,831959905,[CCSO] ANIMAL PROBLEM,41.9021,"{'type': 'Point', 'coordinates': [-111.815, 41.9021]}",-111.815,Community Policing,UT,01/30/2018 02:48:19 AM,
566,800 Block W 2880 S,12-C1379,NIBLEY,,,03/01/2012 08:48:04 PM,Thursday,16,02/23/2012 04:02:35 PM,Animal Problem,101380352,[CCSO] ANIMAL PROBLEM,41.680093,"{'type': 'Point', 'coordinates': [-111.85385, 41.680093]}",-111.85385,Community Policing,UT,05/08/2012 12:02:21 PM,
567,2500 Block S 660 W,12-C1369,NIBLEY,,,03/01/2012 08:48:04 PM,Thursday,9,02/23/2012 09:02:37 AM,Animal Problem,101380353,[CCSO] ANIMAL PROBLEM,41.686552,"{'type': 'Point', 'coordinates': [-111.849154, 41.686552]}",-111.849154,Community Policing,UT,03/12/2012 12:02:02 PM,
568,200 Block E 570 N,12-C1380,HYDE PARK,,,03/01/2012 08:48:04 PM,Thursday,16,02/23/2012 04:02:00 PM,"""Assist,Citizen""",101380354,"""[CCSO] ASSIST,CITIZEN""",41.809932,"{'type': 'Point', 'coordinates': [-111.814762, 41.809932]}",-111.814762,Community Policing,UT,03/06/2012 01:00:30 PM,
569,2900 Block S US 89 & 91,16-C3649,NIBLEY,,,05/07/2016 06:48:25 AM,Friday,14,05/06/2016 02:14:13 PM,Animal Problem,758850255,[CCSO] ANIMAL PROBLEM,41.681,"{'type': 'Point', 'coordinates': [-111.877, 41.681]}",-111.877,Community Policing,UT,06/10/2016 09:09:39 AM,
570,100 Block W 200 S,12-C1381,WELLSVILLE,,,03/01/2012 08:48:04 PM,Thursday,17,02/23/2012 05:02:08 PM,"""Assist,Agency""",101380356,"""[CCSO] ASSIST,AGENCY""",41.634686,"{'type': 'Point', 'coordinates': [-111.938479, 41.634686]}",-111.938479,Community Policing,UT,03/06/2012 01:00:30 PM,
571,3800 Block S 5400 W,16-C3652,CACHE COUNTY,,,05/07/2016 06:48:25 AM,Friday,15,05/06/2016 03:07:49 PM,Trespassing,758850258,[CCSO] TRESPASSING,41.6647,"{'type': 'Point', 'coordinates': [-111.964, 41.6647]}",-111.964,Property Crime,UT,06/10/2016 09:09:39 AM,
