incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
734891094,15UV01592,10/13/2015 10:10:21 AM,AGENCY ASSIST,Description: Agency Assist,,1100 Block S 800 EAST ST,,OREM,UT,,,40.2766,-111.676,10/23/2015 06:03:29 AM,10/23/2015 08:11:46 AM,POINT (-111.676 40.2766),10,Tuesday,Community Policing
722416321,15UV00883,06/22/2015 08:06:06 PM,ALARM,Description: Alarm,,UVMEB,,UTAH VALLEY U,UT,,,40.2831,-111.719,06/26/2015 08:15:35 AM,07/03/2015 08:11:19 AM,POINT (-111.719 40.2831),20,Monday,Alarm
836910476,18UV00486,03/08/2018 10:03:44 AM,CITIZEN ASSIST,Description: Citizen Assist,,300 Block UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,03/11/2018 07:35:13 AM,03/22/2018 11:59:28 AM,POINT (-111.71 40.2785),10,Thursday,Community Policing
812747602,17UV01432,07/15/2017 10:07:22 PM,CITIZEN ASSIST,Description: Citizen Assist,,300 Block UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,07/18/2017 10:12:07 AM,07/28/2017 10:13:26 AM,POINT (-111.71 40.2785),22,Saturday,Community Policing
94394315,12UV00038,01/09/2012 11:01:42 AM,WARRANT SERVED FOR OTHER AGENC,Description: Warrant Served For Other Agenc,,L7,,UTAH VALLEY U,UT,,,40.2817707484,-111.7171367,01/16/2012 09:05:23 AM,01/21/2012 09:05:33 AM,POINT (-111.717137 40.281771),11,Monday,Community Policing
78710599,11UV01237,08/24/2011 06:08:02 PM,INFORMATION,Description: Information,,BB,,UTAH VALLEY U,UT,,,40.2764807484,-111.7170267,08/31/2011 08:05:56 AM,09/05/2011 08:04:41 AM,POINT (-111.717027 40.276481),18,Wednesday,Community Policing
838746180,18UV00548,03/18/2018 02:03:18 AM,AGENCY ASSIST,Description: Agency Assist,,1300 Block W UNIVERSITY PKWY,,OREM,UT,,,40.2751,-111.727,03/22/2018 06:55:15 AM,04/01/2018 05:09:24 AM,POINT (-111.727 40.2751),2,Sunday,Community Policing
91114040,11UV01960,12/13/2011 01:12:29 PM,INFORMATION,Description: Information,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,12/20/2011 09:06:07 AM,12/25/2011 09:04:58 AM,POINT (-111.714427 40.278781),13,Tuesday,Community Policing
800088736,17UV00643,03/30/2017 08:03:40 AM,THEFT-PROPERTY-OTHER,Description: Theft-Property-Other,,UVLI,,UTAH VALLEY U,UT,,,40.2811,-111.716,04/02/2017 10:06:21 AM,04/12/2017 10:14:54 AM,POINT (-111.716 40.2811),8,Thursday,Theft
88306246,11UV01870,11/18/2011 11:11:45 PM,BURGLARY-NON-RES-UNLAWF ENTRY,Description: Burglary-Non-Res-Unlawf Entry,,L6,,UTAH VALLEY U,UT,,,40.2813407484,-111.7185867,11/25/2011 09:04:54 AM,11/30/2011 09:05:11 AM,POINT (-111.718587 40.281341),23,Friday,Breaking & Entering
832340428,18UV00118,01/21/2018 04:01:50 AM,VEHICLE RECOVERED,Description: Vehicle Recovered,,600 Block S 800 WEST ST,,OREM,UT,,,40.2858,-111.714,01/24/2018 07:10:10 AM,02/04/2018 06:52:30 AM,POINT (-111.714 40.2858),4,Sunday,Community Policing
87024620,11UV01796,11/06/2011 11:11:18 PM,ALARM,Description: Alarm,,SC,,UTAH VALLEY U,UT,,,40.2787807484,-111.7144267,11/13/2011 09:05:03 AM,11/18/2011 09:04:56 AM,POINT (-111.714427 40.278781),23,Sunday,Alarm
