column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
7914,700 Block W 1800 N,C2024293,CLINTON,,04/01/2019 07:12:56 AM,Sunday,23,03/31/2019 11:15:03 PM,Traffic Stop,912411630,CAD: Traffic Stop,41.1401088,"{'type': 'Point', 'coordinates': [-112.0393603, 41.1401088]}",-112.0393603,Vehicle Stop,UT,04/08/2019 08:42:43 AM,84015.0
7915,1600 Block W 1800 N,C2024297,CLINTON,,04/01/2019 07:12:56 AM,Sunday,23,03/31/2019 11:29:34 PM,Traffic Stop,912411629,CAD: Traffic Stop,41.1404052,"{'type': 'Point', 'coordinates': [-112.0566272, 41.1404052]}",-112.0566272,Vehicle Stop,UT,04/08/2019 08:42:43 AM,84015.0
7916,3500 Block W 2300 N,C2024299,CLINTON,,04/01/2019 07:12:56 AM,Sunday,23,03/31/2019 11:34:14 PM,Traffic Stop,912411627,CAD: Traffic Stop,41.1471274,"{'type': 'Point', 'coordinates': [-112.0936884, 41.1471274]}",-112.0936884,Vehicle Stop,UT,04/08/2019 08:42:43 AM,84015.0
7917,1400 Block W 1800 N,C2024303,CLINTON,,04/01/2019 07:12:56 AM,Sunday,23,03/31/2019 11:52:22 PM,Traffic Stop,912411626,CAD: Traffic Stop,41.1398735,"{'type': 'Point', 'coordinates': [-112.0531015, 41.1398735]}",-112.0531015,Vehicle Stop,UT,04/08/2019 08:42:44 AM,84015.0
7918,1700 Block W 1800 N,C2024315,CLINTON,,04/02/2019 10:41:01 AM,Monday,1,04/01/2019 01:17:57 AM,Traffic Stop,912508125,CAD: Traffic Stop,41.1398736,"{'type': 'Point', 'coordinates': [-112.0585251, 41.1398736]}",-112.0585251,Vehicle Stop,UT,04/08/2019 08:42:44 AM,84015.0
7919,1800 Block N 2000 W,C2024316,CLINTON,,04/02/2019 10:41:01 AM,Monday,1,04/01/2019 01:32:49 AM,Traffic Stop,912508126,CAD: Traffic Stop,41.1400021,"{'type': 'Point', 'coordinates': [-112.0643681, 41.1400021]}",-112.0643681,Vehicle Stop,UT,04/08/2019 08:42:44 AM,84015.0
7920,1800 Block N 2000 W,C2024317,CLINTON,,04/02/2019 10:41:01 AM,Monday,1,04/01/2019 01:42:43 AM,Traffic Stop,912508127,CAD: Traffic Stop,41.1400021,"{'type': 'Point', 'coordinates': [-112.0643681, 41.1400021]}",-112.0643681,Vehicle Stop,UT,04/08/2019 08:42:44 AM,84015.0
7921,2200 Block W 1630 N,C2024318,CLINTON,,04/02/2019 10:41:01 AM,Monday,1,04/01/2019 01:57:01 AM,Extra Patrol REQUEST,912508128,CAD: Extra Patrol REQUEST,41.13757680000001,"{'type': 'Point', 'coordinates': [-112.0684996, 41.13757680000001]}",-112.0684996,Community Policing,UT,04/08/2019 08:42:44 AM,84015.0
7922,2300 Block N 1500 W,C2024319,CLINTON,,04/02/2019 10:41:01 AM,Monday,2,04/01/2019 02:05:23 AM,Extra Patrol REQUEST,912508129,CAD: Extra Patrol REQUEST,41.1477739,"{'type': 'Point', 'coordinates': [-112.0547823, 41.1477739]}",-112.0547823,Community Policing,UT,04/08/2019 08:42:45 AM,84015.0
7923,3600 Block W CRANEFIELD RD,C2024333,CLINTON,,04/02/2019 10:41:01 AM,Monday,5,04/01/2019 05:22:29 AM,Extra Patrol REQUEST,912508130,CAD: Extra Patrol REQUEST,41.1496601,"{'type': 'Point', 'coordinates': [-112.0954418, 41.1496601]}",-112.0954418,Community Policing,UT,04/08/2019 08:42:45 AM,84015.0
