Year,Agency,Population,Homicide,Rape,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Arson,Total Crime Index,"Crime Rate per 1,000"
2010,South Jordan,50418.0,0.0,7.0,7.0,14.0,212.0,807.0,32.0,1.0,1080.0,21.42
2010,South Salt Lake PD,23617.0,5.0,33.0,62.0,112.0,237.0,1186.0,226.0,4.0,1865.0,78.97
2010,Taylorsville PD,58652.0,2.0,24.0,66.0,129.0,348.0,1938.0,219.0,10.0,2736.0,46.65
2010,U of U PD,,0.0,0.0,1.0,7.0,37.0,556.0,20.0,0.0,621.0,
2010,UTA PD,,0.0,0.0,4.0,9.0,1.0,1445.0,10.0,0.0,1469.0,
2010,West Jordan PD,103712.0,1.0,39.0,54.0,165.0,460.0,2423.0,195.0,15.0,3352.0,32.32
2010,West Valley City PD,129480.0,6.0,74.0,131.0,390.0,997.0,4180.0,506.0,13.0,6297.0,48.63
2009,Unified PD of Greater Salt Lake,234167.0,3.0,86.0,114.0,550.0,1549.0,5810.0,827.0,27.0,8966.0,38.29
2009,Alta Marshal,374.0,,,,,,,,,,
2009,Cottonwood Heights,35407.0,1.0,5.0,15.0,33.0,227.0,837.0,70.0,3.0,1191.0,33.64
2009,Midvale PD,43217.0,1.0,11.0,4.0,31.0,231.0,682.0,62.0,7.0,1029.0,23.81
2009,Granite School District PD,0.0,0.0,0.0,0.0,9.0,22.0,109.0,4.0,7.0,151.0,0.0
2009,Midvale PD,29374.0,1.0,15.0,23.0,71.0,362.0,1157.0,207.0,7.0,1843.0,62.74
2009,Murray PD,46587.0,0.0,30.0,53.0,106.0,532.0,2873.0,227.0,6.0,3827.0,82.15
2009,Salt Lake City PD,183171.0,4.0,102.0,414.0,768.0,2122.0,10940.0,1323.0,54.0,15727.0,85.86
2009,Sandy PD,97177.0,2.0,18.0,23.0,120.0,558.0,2681.0,186.0,14.0,3602.0,37.07
2009,South Jordan,54631.0,1.0,7.0,8.0,24.0,224.0,904.0,48.0,2.0,1218.0,22.3
2009,South Salt Lake PD,21774.0,1.0,45.0,55.0,98.0,285.0,1248.0,250.0,7.0,1989.0,91.35
2009,Taylorsville PD,59102.0,1.0,20.0,51.0,115.0,464.0,2421.0,288.0,17.0,3377.0,57.14
2009,U of U PD,0.0,0.0,2.0,0.0,5.0,38.0,540.0,26.0,1.0,612.0,0.0
2009,UTA PD,0.0,0.0,0.0,7.0,6.0,0.0,419.0,27.0,0.0,459.0,0.0
2009,West Jordan PD,104915.0,4.0,30.0,36.0,102.0,529.0,2829.0,247.0,16.0,3793.0,36.15
2009,West Valley City PD,125093.0,4.0,87.0,155.0,318.0,1050.0,4433.0,695.0,15.0,6757.0,54.02
