Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
8054,300 Block N 200 E,20161628,PRICE,,,11/13/2016 06:10:11 AM,Saturday,15,11/12/2016 03:40:00 PM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",781019939,"[PCPD] Narcotic Equipment, Possession",39.605234,"{'type': 'Point', 'coordinates': [-110.8077, 39.605234]}",-110.8077,Drugs,UT,05/10/2017 07:10:17 AM,84501
8055,1000 Block E MAIN ST,20161650,PRICE,,,11/18/2016 06:10:22 AM,Thursday,14,11/17/2016 02:42:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage",781462548,"[PCPD] Traffic Accident, Vehicle Damage",39.6003182,"{'type': 'Point', 'coordinates': [-110.7935369, 39.6003182]}",-110.7935369,Traffic,UT,05/15/2017 07:09:17 AM,84501
8056,200 Block S MAIN ST,20161651,PRICE,,,11/18/2016 06:10:22 AM,Thursday,15,11/17/2016 03:49:00 PM,THEFT / Shoplifting,781462550,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,05/15/2017 07:09:18 AM,84501
8057,200 Block W 400 N,20161653,PRICE,,,11/19/2016 06:10:19 AM,Friday,11,11/18/2016 11:39:00 AM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",781545263,"[PCPD] Narcotic Equipment, Possession",39.6046076,"{'type': 'Point', 'coordinates': [-110.8166291, 39.6046076]}",-110.8166291,Drugs,UT,05/16/2017 07:09:10 AM,84501
8058,200 Block S MAIN ST,20161654,PRICE,,,11/19/2016 06:10:19 AM,Friday,21,11/18/2016 09:07:00 PM,THEFT / Shoplifting,781545264,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,05/16/2017 07:09:10 AM,84501
8059,900 Block E MAIN ST,20161656,PRICE,,,11/20/2016 06:10:20 AM,Saturday,10,11/19/2016 10:02:00 AM,"TRAFFIC ACCIDENT / Traffic Accident, Private Prop Damg",781612734,"[PCPD] Traffic Accident, Private Prop Damg",39.5997686,"{'type': 'Point', 'coordinates': [-110.795064, 39.5997686]}",-110.795064,Traffic,UT,05/17/2017 07:10:00 AM,84501
8060,700 Block E 700 N,20161657,PRICE,,,11/20/2016 06:10:20 AM,Saturday,13,11/19/2016 01:08:00 PM,"DAMAGED PROPERTY / Damaged Property, Private",781612735,"[PCPD] Damaged Property, Private",39.6116553,"{'type': 'Point', 'coordinates': [-110.7992562, 39.6116553]}",-110.7992562,Property Crime,UT,05/17/2017 07:10:00 AM,84501
8061,100 Block N 200 W,20161666,PRICE,,,11/22/2016 06:10:24 AM,Monday,22,11/21/2016 10:59:00 PM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",781804241,"[PCPD] Narcotic Equipment, Possession",39.6008997,"{'type': 'Point', 'coordinates': [-110.8141432, 39.6008997]}",-110.8141432,Drugs,UT,05/19/2017 07:10:47 AM,84501
8062,800 Block EAST MAIN STREET,2016098,PRICE,,,11/23/2016 06:10:25 AM,Tuesday,0,11/22/2016 12:00:00 AM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",781892739,"[PCPD] Narcotic Equipment, Possession",39.59976229999999,"{'type': 'Point', 'coordinates': [-110.7955853, 39.5997623]}",-110.7955853,Drugs,UT,05/20/2017 07:10:39 AM,84501
8063,600 Block W 100 N,20161667,PRICE,,,11/23/2016 06:10:25 AM,Tuesday,6,11/22/2016 06:39:00 AM,"TRAFFIC ACCIDENT / Traffic Accident, Injury",781892736,"[PCPD] Traffic Accident, Injury",39.6009225,"{'type': 'Point', 'coordinates': [-110.8195844, 39.6009225]}",-110.8195844,Traffic,UT,05/20/2017 07:10:39 AM,84501
8064,200 Block S MAIN STREET,20161676,PRICE,,,11/24/2016 06:10:26 AM,Wednesday,21,11/23/2016 09:55:00 PM,THEFT / Shoplifting,781968350,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,05/21/2017 07:09:58 AM,84501
8065,600 Block W PRICE RIVER DRIVE,20161678,PRICE,,,11/25/2016 06:10:26 AM,Thursday,11,11/24/2016 11:26:00 AM,DUI / Alcohol,782034379,[PCPD] Alcohol,39.5979057,"{'type': 'Point', 'coordinates': [-110.8213681, 39.5979057]}",-110.8213681,Liquor,UT,05/22/2017 07:10:02 AM,84501
8066,100 Block S 300 WEST,20161683,PRICE,,,11/26/2016 06:10:28 AM,Friday,11,11/25/2016 11:45:00 AM,THEFT / Theft Other,782091929,[PCPD] Theft Other,39.5980916,"{'type': 'Point', 'coordinates': [-110.8160144, 39.5980916]}",-110.8160144,Theft,UT,05/23/2017 07:10:09 AM,84501
8067,800 Block E MAIN ST,20161687,PRICE,,,11/27/2016 06:10:29 AM,Saturday,11,11/26/2016 11:28:00 AM,"TRAFFIC ACCIDENT / Traffic Accident, Private Prop Damg",782140291,"[PCPD] Traffic Accident, Private Prop Damg",39.5989793,"{'type': 'Point', 'coordinates': [-110.7953726, 39.5989793]}",-110.7953726,Traffic,UT,05/24/2017 07:10:17 AM,84501
8068,400 Block E MAIN ST,20161689,PRICE,,,11/27/2016 06:10:29 AM,Saturday,16,11/26/2016 04:10:00 PM,OBSTRUCT POLICE / Resisting/Interfering w/Police,782140293,[PCPD] Resisting/Interfering w/Police,39.5999941,"{'type': 'Point', 'coordinates': [-110.8031059, 39.5999941]}",-110.8031059,Disorder,UT,05/24/2017 07:10:18 AM,84501
8069,200 Block S MAIN ST,20161694,PRICE,,,11/28/2016 06:10:28 AM,Sunday,20,11/27/2016 08:49:00 PM,THEFT / Shoplifting,782186299,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,05/25/2017 07:13:26 AM,84501
8217,200 Block S MAIN ST,20161784,PRICE,,,12/22/2016 06:11:35 AM,Wednesday,14,12/21/2016 02:40:00 PM,THEFT / Shoplifting,786393574,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,06/18/2017 07:11:14 AM,84501
8070,200 Block N 300 EAST,20161695,PRICE,,,11/29/2016 06:10:31 AM,Monday,16,11/28/2016 04:08:00 PM,"CONTROLLED SUBSTANCE / Narcotic Equipment, Possession",782262860,"[PCPD] Narcotic Equipment, Possession",39.603568,"{'type': 'Point', 'coordinates': [-110.805914, 39.603568]}",-110.805914,Drugs,UT,05/26/2017 07:08:49 AM,84501
8071,800 Block N 100 E,20161699,PRICE,,,12/01/2016 06:10:35 AM,Wednesday,12,11/30/2016 12:42:00 PM,THEFT / Theft Other,782764886,[PCPD] Theft Other,39.6137881,"{'type': 'Point', 'coordinates': [-110.8084042, 39.6137881]}",-110.8084042,Theft,UT,05/28/2017 07:08:55 AM,84501
8072,700 Block N 200 E,20161703,PRICE,,,12/02/2016 06:10:35 AM,Thursday,10,12/01/2016 10:23:00 AM,THEFT / Theft Other,782912361,[PCPD] Theft Other,39.6129013,"{'type': 'Point', 'coordinates': [-110.8068219, 39.6129013]}",-110.8068219,Theft,UT,05/29/2017 07:08:58 AM,84501
8073,100 Block E 200 N,20161702,PRICE,,,12/02/2016 06:10:35 AM,Friday,10,12/02/2016 10:11:00 AM,"DAMAGED PROPERTY / Damaged Property, Private",782912360,"[PCPD] Damaged Property, Private",39.602155,"{'type': 'Point', 'coordinates': [-110.80851, 39.602155]}",-110.80851,Property Crime,UT,05/30/2017 07:12:10 AM,84501
8074,100 Block NORTH PRICE RIVER DRIVE,20161706,PRICE,,,12/03/2016 06:10:38 AM,Friday,12,12/02/2016 12:10:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Injury",782995733,"[PCPD] Traffic Accident, Injury",39.59951909999999,"{'type': 'Point', 'coordinates': [-110.8215865, 39.5995191]}",-110.8215865,Traffic,UT,05/30/2017 07:12:10 AM,84501
8075,200 Block S MAIN ST,20161710,PRICE,,,12/05/2016 06:10:37 AM,Sunday,14,12/04/2016 02:37:00 PM,THEFT / Shoplifting,783175179,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,06/01/2017 07:09:07 AM,84501
8076,200 Block S MAIN ST,20161711,PRICE,,,12/05/2016 06:10:37 AM,Sunday,19,12/04/2016 07:20:00 PM,THEFT / Shoplifting,783175180,[PCPD] Shoplifting,39.599877,"{'type': 'Point', 'coordinates': [-110.806318, 39.599877]}",-110.806318,Theft,UT,06/01/2017 07:09:07 AM,84501
8077,100 Block N 400 E,20161713,PRICE,,,12/06/2016 06:10:41 AM,Monday,10,12/05/2016 10:11:00 AM,THEFT / Theft Other,783258445,[PCPD] Theft Other,39.6020667,"{'type': 'Point', 'coordinates': [-110.8032547, 39.6020667]}",-110.8032547,Theft,UT,06/02/2017 07:09:00 AM,84501
8078,200 Block N HOSPITAL DRIVE,20161719,PRICE,,,12/06/2016 06:10:41 AM,Monday,16,12/05/2016 04:01:00 PM,"TRAFFIC ACCIDENT / Hit/Run, Vehicle Damg",783258450,"[PCPD] Hit/Run, Vehicle Damg",39.6040002,"{'type': 'Point', 'coordinates': [-110.8308753, 39.6040002]}",-110.8308753,Traffic,UT,06/02/2017 07:09:46 AM,84501
8079,400 Block S 79 W,20161729,PRICE,,,12/10/2016 06:10:46 AM,Friday,0,12/09/2016 12:16:00 AM,"CONTROLLED SUBSTANCE / Marijuana, Sell",784571752,"[PCPD] Marijuana, Sell",39.59335,"{'type': 'Point', 'coordinates': [-110.812856, 39.59335]}",-110.812856,Drugs,UT,06/06/2017 07:09:50 AM,84501
8080,500 Block W 500 SOUTH,20161731,PRICE,,,12/10/2016 06:10:46 AM,Friday,14,12/09/2016 02:48:00 PM,"TRAFFIC ACCIDENT / Traffic Accident, Private Prop Damg",784571751,"[PCPD] Traffic Accident, Private Prop Damg",39.5929337,"{'type': 'Point', 'coordinates': [-110.8193644, 39.5929337]}",-110.8193644,Traffic,UT,06/06/2017 07:09:14 AM,84501
8081,CARBON AVE 200 N,20161734,PRICE,,,12/10/2016 06:10:46 AM,Friday,21,12/09/2016 09:02:00 PM,"CONTROLLED SUBSTANCE / Marijuana, Possession",784571755,"[PCPD] Marijuana, Possession",39.60258,"{'type': 'Point', 'coordinates': [-110.8113013, 39.60258]}",-110.8113013,Drugs,UT,06/06/2017 07:09:50 AM,84501
